# BEGIN PLOT
Legend=1
LogY=1
YLabel=$1/\sigma\mathrm{d}\sigma/\mathrm{d}p_\perp$ [$\mathrm{GeV}^{-1}$]
LogX=1
XMin=1.0
YMin=0.000001
LegendXPos=0.05
LegendYPos=0.5
Title=$Z$ $p_\perp$ reconstructed from dressed muons
XLabel=$p_\perp(\mu\mu)$ [GeV]
DrawOnly=/ATLAS_2011_S9131140/d02-x01-y02 //Applications/sherpa/sherpa/Examples/colour_reco/DY_with_reco/Analysis.yoda.gz/ATLAS_2011_S9131140/d02-x01-y02
LegendOnly=/ATLAS_2011_S9131140/d02-x01-y02 //Applications/sherpa/sherpa/Examples/colour_reco/DY_with_reco/Analysis.yoda.gz/ATLAS_2011_S9131140/d02-x01-y02
RatioPlot=1
RatioPlotReference=/ATLAS_2011_S9131140/d02-x01-y02
# END PLOT

# BEGIN HISTO1D /ATLAS_2011_S9131140/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2011_S9131140/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	3.660000e-02	2.059126e-03	2.059126e-03
3.000000e+00	6.000000e+00	5.740000e-02	2.549510e-03	2.549510e-03
6.000000e+00	9.000000e+00	4.680000e-02	1.220656e-03	1.220656e-03
9.000000e+00	1.200000e+01	3.540000e-02	1.081665e-03	1.081665e-03
1.200000e+01	1.500000e+01	2.720000e-02	9.433981e-04	9.433981e-04
1.500000e+01	1.800000e+01	2.170000e-02	8.062258e-04	8.062258e-04
1.800000e+01	2.100000e+01	1.720000e-02	6.708204e-04	6.708204e-04
2.100000e+01	2.400000e+01	1.360000e-02	5.830952e-04	5.830952e-04
2.400000e+01	2.700000e+01	1.160000e-02	5.385165e-04	5.385165e-04
2.700000e+01	3.000000e+01	8.770000e-03	4.753946e-04	4.753946e-04
3.000000e+01	3.600000e+01	6.460000e-03	2.996665e-04	2.996665e-04
3.600000e+01	4.200000e+01	4.630000e-03	2.507987e-04	2.507987e-04
4.200000e+01	4.800000e+01	3.950000e-03	2.284732e-04	2.284732e-04
4.800000e+01	5.400000e+01	2.880000e-03	1.931321e-04	1.931321e-04
5.400000e+01	6.000000e+01	2.130000e-03	1.615549e-04	1.615549e-04
6.000000e+01	8.000000e+01	1.300000e-03	8.062258e-05	8.062258e-05
8.000000e+01	1.000000e+02	5.470000e-04	4.701064e-05	4.701064e-05
1.000000e+02	1.800000e+02	1.510000e-04	1.303840e-05	1.303840e-05
1.800000e+02	3.500000e+02	1.140000e-05	2.247221e-06	2.247221e-06
# END HISTO1D


# BEGIN HISTO1D //Applications/sherpa/sherpa/Examples/colour_reco/DY_with_reco/Analysis.yoda.gz/ATLAS_2011_S9131140/d02-x01-y02
LineColor=red
LineStyle=solid
Path=//Applications/sherpa/sherpa/Examples/colour_reco/DY_with_reco/Analysis.yoda.gz/ATLAS_2011_S9131140/d02-x01-y02
ScaledBy=3.75706147275789069e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	2.816901e-02	1.149995e-02	1.149995e-02
3.000000e+00	6.000000e+00	7.042253e-02	1.818302e-02	1.818302e-02
6.000000e+00	9.000000e+00	3.286385e-02	1.242137e-02	1.242137e-02
9.000000e+00	1.200000e+01	4.225353e-02	1.408451e-02	1.408451e-02
1.200000e+01	1.500000e+01	3.286385e-02	1.242137e-02	1.242137e-02
1.500000e+01	1.800000e+01	4.225353e-02	1.408451e-02	1.408451e-02
1.800000e+01	2.100000e+01	2.816901e-02	1.149995e-02	1.149995e-02
2.100000e+01	2.400000e+01	1.877934e-02	9.389672e-03	9.389672e-03
2.400000e+01	2.700000e+01	1.877934e-02	9.389672e-03	9.389672e-03
2.700000e+01	3.000000e+01	9.389670e-03	6.639500e-03	6.639500e-03
3.000000e+01	3.600000e+01	2.347418e-03	2.347418e-03	2.347418e-03
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	7.042255e-04	7.042253e-04	7.042253e-04
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

